dataset,seed,round,arm,total,l0_rejected,additional_rejected,final_rejected,accuracy,layer,fallback,l0_guard,l0_threshold,l2_logged_count,attack_gate,attack_alert,gap,natural_clusters,rejected_clusters
har,2024,9,B,90,0,0,0,0.3498473023413641,L0_only,0,False,1.4471212029457092,0,0,0,8.765328524721742,0,0
har,2024,9,C,90,0,0,0,0.3474720054292501,L0_only,0,False,1.4494329690933228,0,0,0,10.167044543703659,0,0
har,2024,19,A,90,0,0,0,0.5870376654224635,L0_only,0,False,1.3403581082820892,0,0,0,26.043559869105195,0,0
har,2024,19,B,90,0,0,0,0.5850016966406515,L0_only,0,False,1.3350987434387207,0,0,0,12.13475407465139,0,0
har,2024,19,C,90,0,0,0,0.5850016966406515,L0_only,0,False,1.3300278782844543,0,0,0,14.950512221435948,0,0
har,2024,29,A,90,0,0,0,0.47336274177129284,L0_only,0,False,1.1343422532081604,0,0,0,31.422844362721584,0,0
har,2024,29,B,90,0,0,0,0.4540210383440787,L0_only,0,False,1.1434046924114227,0,0,0,26.414168592739056,0,0
har,2024,29,C,90,0,0,0,0.4489311163895487,L0_only,0,False,1.146823763847351,0,0,0,55.64941612332572,0,0
mnist,42,0,A,90,0,0,0,0.1114,L0_only,0,False,1.7064169049263,0,0,0,57.41461617306852,0,0
mnist,42,0,B,90,0,0,0,0.1115,L0_only,0,False,1.7154690623283386,0,0,0,56.49648161788111,0,0
mnist,42,0,C,90,0,0,0,0.1112,L0_only,0,False,1.7421945929527283,0,0,0,28.701594150539428,0,0
mnist,42,9,A,90,38,0,38,0.1907,L0+L2_SNNC,0,False,0.6496366858482361,38,1,1,15.486087496926139,3,2
mnist,42,9,B,90,38,0,38,0.1908,L0+L2_SNNC,0,False,0.6515607982873917,38,1,1,18.695210855338203,1,0
mnist,42,9,C,90,39,0,39,0.1908,L0+L2_SNNC,0,False,0.6310690939426422,39,1,1,14.697962523039527,1,0
mnist,42,19,A,90,40,0,40,0.2059,L0+L2_SNNC,0,False,0.5739474296569824,40,1,1,19.670226929358027,2,1
mnist,42,19,B,90,40,0,40,0.2054,L0+L2_SNNC,0,False,0.5748043954372406,40,1,1,25.541224142813842,1,0
mnist,42,19,C,90,40,0,40,0.2057,L0+L2_SNNC,0,False,0.5745261162519455,40,1,1,18.244340027235605,1,0
mnist,42,29,A,90,37,0,37,0.2595,L0+L2_SNNC,0,False,0.5319956317543983,37,1,1,38.147809914455365,1,0
mnist,42,29,B,90,37,2,39,0.2651,L0+L2_SNNC,0,False,0.5338955670595169,39,1,1,35.64831294996261,2,1
mnist,42,29,C,90,37,0,37,0.2584,L0+L2_SNNC,0,False,0.5320810526609421,37,1,1,42.582538778005684,1,0
mnist,137,0,A,90,21,0,21,0.1057,L0+L2_SNNC,0,False,0.8394148200750351,21,1,1,35.19956751601154,1,0
mnist,137,0,B,90,14,0,14,0.1073,L0+L2_SNNC,0,False,0.8635902404785156,14,1,1,13.672171237339432,1,0
mnist,137,0,C,90,5,0,5,0.1086,L0+L2_SNNC,0,False,0.8916930854320526,5,1,1,37.52371006498972,1,0
mnist,137,9,A,90,40,0,40,0.2127,L0+L2_SNNC,0,False,0.4088861495256424,40,1,1,21.81751232884073,1,0
mnist,137,9,B,90,40,0,40,0.2126,L0+L2_SNNC,0,False,0.41191764175891876,40,1,1,20.210248084461803,1,0
mnist,137,9,C,90,40,0,40,0.2127,L0+L2_SNNC,0,False,0.40991775691509247,40,1,1,19.940669501181144,1,0
mnist,137,19,A,90,38,0,38,0.2131,L0+L2_SNNC,0,False,0.3527819365262985,38,1,1,14.57204549307528,1,0
mnist,137,19,B,90,38,0,38,0.2131,L0+L2_SNNC,0,False,0.35322774201631546,38,1,1,27.301633762489146,1,0
mnist,137,19,C,90,38,0,38,0.2131,L0+L2_SNNC,0,False,0.3533545881509781,38,1,1,29.83189650635691,1,0
mnist,137,29,A,90,37,0,37,0.2134,L0+L2_SNNC,0,False,0.31088780611753464,37,1,1,38.4728185963336,1,0
mnist,137,29,B,90,37,0,37,0.2134,L3_safety_fallback_L0,1,False,0.3108995780348778,89,1,1,22.239816481756055,1,1
mnist,137,29,C,90,37,0,37,0.2133,L0+L2_SNNC,0,False,0.3112786263227463,37,1,1,37.046258580885436,2,0
mnist,2024,0,A,90,0,0,0,0.1046,L0_only,0,False,0.95463827252388,0,0,0,48.76168048605276,0,0
mnist,2024,0,B,90,0,0,0,0.1047,L0_only,0,False,0.9549374878406525,0,0,0,34.30323636213011,0,0
mnist,2024,0,C,90,0,0,0,0.1045,L0_only,0,False,0.9560693800449371,0,0,0,17.92130190111077,0,0
mnist,2024,9,A,90,20,14,34,0.3451,L0+L2_SNNC,0,False,0.7709362357854843,34,1,1,18.350334874529185,6,5
mnist,2024,9,B,90,15,10,25,0.4155,L0+L2_SNNC,0,False,0.7962704449892044,25,1,1,17.177161545899693,3,2
mnist,2024,9,C,90,14,4,18,0.4681,L0+L2_SNNC,0,False,0.8387669920921326,18,1,1,21.653458719727897,2,1
mnist,2024,19,A,90,22,0,22,0.4836,L0+L2_SNNC,0,False,0.5436870083212852,22,1,1,33.756333451726455,2,0
mnist,2024,19,B,90,21,0,21,0.4862,L0+L2_SNNC,0,False,0.600358247756958,21,1,1,30.60704741566989,1,0
mnist,2024,19,C,90,20,0,20,0.4858,L0+L2_SNNC,0,False,0.6693711876869202,20,1,1,33.085596281322005,1,0
mnist,2024,29,A,90,20,0,20,0.5125,L0+L2_SNNC,0,False,0.5244676023721695,20,1,1,17.753629542006685,4,0
mnist,2024,29,B,90,20,0,20,0.5126,L0+L2_SNNC,0,False,0.5504748970270157,20,1,1,23.241130797923812,3,0
mnist,2024,29,C,90,20,0,20,0.5114,L0+L2_SNNC,0,False,0.5248308181762695,20,1,1,25.692299502904536,3,0
fashion_mnist,42,0,A,90,0,0,0,0.2037,L0_only,0,False,1.6913959383964539,0,0,0,15.438221071305438,0,0
fashion_mnist,42,0,B,90,0,0,0,0.2036,L0_only,0,False,1.6886600852012634,0,0,0,26.321558922784,0,0
fashion_mnist,42,0,C,90,0,0,0,0.2034,L0_only,0,False,1.678769290447235,0,0,0,17.98751578662027,0,0
fashion_mnist,42,9,A,90,36,0,36,0.202,L0+L2_SNNC,0,False,0.243334099650383,36,1,1,15.28430354497577,2,0
fashion_mnist,42,9,B,90,36,0,36,0.202,L0+L2_SNNC,0,False,0.24763112887740135,36,1,1,13.250459271362812,2,0
fashion_mnist,42,9,C,90,36,0,36,0.2019,L0+L2_SNNC,0,False,0.25786587968468666,36,1,1,13.920314592711613,2,0
fashion_mnist,42,19,A,90,39,0,39,0.1998,L3_safety_fallback_L0,1,False,0.20757276564836502,89,1,1,24.319807066153334,1,1
fashion_mnist,42,19,B,90,39,0,39,0.1998,L3_safety_fallback_L0,1,False,0.23329120129346848,89,1,1,40.3469813450619,1,1
fashion_mnist,42,19,C,90,39,0,39,0.1998,L0+L2_SNNC,0,False,0.23856084793806076,39,1,1,29.25697583438531,2,0
fashion_mnist,42,29,A,90,38,0,38,0.1998,L0+L2_SNNC,0,False,0.20446676760911942,38,1,1,99.2623810392962,2,0
fashion_mnist,42,29,B,90,38,0,38,0.1998,L0+L2_SNNC,0,False,0.20452950149774551,38,1,1,91.24469275115783,2,0
fashion_mnist,42,29,C,90,38,0,38,0.1998,L0+L2_SNNC,0,False,0.24547522887587547,38,1,1,58.206106143529475,2,0
fashion_mnist,137,0,A,90,0,0,0,0.2394,L0_only,0,False,1.568799912929535,0,0,0,9.801742315727562,0,0
fashion_mnist,137,0,B,90,0,0,0,0.2389,L0_only,0,False,1.5779201686382294,0,0,0,9.050402916626789,0,0
fashion_mnist,137,0,C,90,0,0,0,0.2352,L0_only,0,False,1.5758642554283142,0,0,0,13.104553917120832,0,0
fashion_mnist,137,9,A,90,0,0,0,0.4789,L0_only,0,False,1.0198111832141876,0,0,0,14.191604647211156,0,0
fashion_mnist,137,9,B,90,0,0,0,0.4754,L0_only,0,False,1.005210280418396,0,0,0,22.610954600951658,0,0
fashion_mnist,137,9,C,90,0,0,0,0.4759,L0_only,0,False,0.9992976486682892,0,0,0,30.3709534808596,0,0
fashion_mnist,137,19,A,90,0,0,0,0.6189,L0_only,0,False,0.9443171322345734,0,0,0,15.94034617369702,0,0
fashion_mnist,137,19,B,90,0,0,0,0.6199,L0_only,0,False,0.9198468923568726,0,0,0,12.046585177313414,0,0
fashion_mnist,137,19,C,90,0,0,0,0.6162,L0_only,0,False,0.9310600906610489,0,0,0,13.350436732400949,0,0
fashion_mnist,137,29,A,90,0,0,0,0.6616,L0_only,0,False,0.8050187677145004,0,0,0,12.117889084341034,0,0
fashion_mnist,137,29,B,90,0,0,0,0.6619,L0_only,0,False,0.7875678688287735,0,0,0,13.24765312626206,0,0
fashion_mnist,137,29,C,90,0,0,0,0.6585,L0_only,0,False,0.7967916876077652,0,0,0,13.762655041694302,0,0
fashion_mnist,2024,0,A,90,0,0,0,0.2943,L0_only,0,False,1.6650548577308655,0,0,0,11.138789877800642,0,0
fashion_mnist,2024,0,B,90,0,0,0,0.2966,L0_only,0,False,1.672123670578003,0,0,0,16.010596470909984,0,0
fashion_mnist,2024,0,C,90,0,0,0,0.2907,L0_only,0,False,1.6578878462314606,0,0,0,18.39234599044247,0,0
fashion_mnist,2024,9,A,90,5,0,5,0.5219,L0+L2_SNNC,0,False,0.7806861400604248,5,1,1,19.007490855947324,4,0
fashion_mnist,2024,9,B,90,5,0,5,0.5272,L0+L2_SNNC,0,False,0.7814061641693115,5,1,1,22.93712795567791,2,0
fashion_mnist,2024,9,C,90,5,3,8,0.5202,L0+L2_SNNC,0,False,0.7824110984802246,8,1,1,29.716155401449434,4,1
fashion_mnist,2024,19,A,90,11,0,11,0.5258,L0+L2_SNNC,0,False,0.7033275812864304,11,1,1,33.17538691870387,5,1
fashion_mnist,2024,19,B,90,11,3,14,0.5178,L0+L2_SNNC,0,False,0.6957386434078217,14,1,1,71.55825129617327,5,1
fashion_mnist,2024,19,C,90,14,0,14,0.5245,L0+L2_SNNC,0,False,0.6616371870040894,14,1,1,135.02461796994695,3,0
fashion_mnist,2024,29,A,90,15,2,17,0.5377,L0+L2_SNNC,0,False,0.6270451098680496,17,1,1,40.92774614661149,5,1
fashion_mnist,2024,29,B,90,15,0,15,0.541,L0+L2_SNNC,0,False,0.6678759306669235,15,1,1,66.10591249558067,3,0
fashion_mnist,2024,29,C,90,16,0,16,0.5397,L0+L2_SNNC,0,False,0.6683631241321564,16,1,1,115.42639229213842,3,0
